ticker,company,fiscal_year,revenue,cogs,receivables,current_assets,ppe,total_assets,depreciation,sga_expense,current_liabilities,long_term_debt,ebit,net_income,cash_flow_ops,retained_earnings,market_value_equity,total_liabilities,is_aaer_fraud_case,altman_x1_wc_ta,altman_x2_re_ta,altman_x3_ebit_ta,altman_x4_mve_tl,altman_x5_sales_ta,altman_z_score,altman_zone,beneish_dsri,beneish_gmi,beneish_aqi,beneish_sgi,beneish_depi,beneish_sgai,beneish_lvgi,beneish_tata,beneish_m_score,beneish_manipulator
AAPL,Apple Inc.,2021,365817.0,212981.0,51506.0,134836.0,39440.0,351002.0,11284.0,21973.0,125481.0,109106.0,119579.0,94680.0,104038.0,5562.0,2400000.0,287912.0,False,0.0267,0.0158,0.3407,8.3359,1.0422,7.2221,safe,,,,,,,,,,
AAPL,Apple Inc.,2022,394328.0,223546.0,60932.0,135405.0,42117.0,352755.0,11104.0,25094.0,153982.0,98959.0,134584.0,99803.0,122151.0,-3068.0,2250000.0,302083.0,False,-0.0527,-0.0087,0.3815,7.4483,1.1179,6.7705,safe,1.0975,0.9647,0.9866,1.0779,1.0662,1.0595,1.0729,-0.0634,-2.6677,False
AAPL,Apple Inc.,2023,383285.0,214137.0,60985.0,143566.0,43715.0,352583.0,11519.0,24932.0,145308.0,95281.0,132697.0,96995.0,110543.0,-214.0,2650000.0,290437.0,False,-0.0049,-0.0006,0.3764,9.1242,1.0871,7.7968,safe,1.0297,0.9814,0.9438,0.972,1.0004,1.0222,0.9516,-0.0384,-2.6779,False
AAPL,Apple Inc.,2024,391035.0,210352.0,65200.0,152800.0,45100.0,364980.0,11800.0,26100.0,151200.0,91800.0,142783.0,101200.0,118250.0,2850.0,3200000.0,298500.0,False,0.0044,0.0078,0.3912,10.7203,1.0714,8.8107,safe,1.0479,0.9551,0.9764,1.0202,1.0056,1.0261,0.9757,-0.0467,-2.6656,False
MSFT,Microsoft Corporation,2021,168088.0,52232.0,38043.0,184406.0,70848.0,333779.0,10900.0,20117.0,88657.0,50074.0,84839.0,61271.0,76740.0,57055.0,2050000.0,191791.0,False,0.2869,0.1709,0.2542,10.6887,0.5036,8.3392,safe,,,,,,,,,,
MSFT,Microsoft Corporation,2022,198270.0,62650.0,44261.0,169684.0,87546.0,364840.0,12600.0,21825.0,95082.0,47032.0,101195.0,72738.0,89035.0,84281.0,1920000.0,198298.0,False,0.2045,0.231,0.2774,9.6824,0.5434,7.837,safe,0.9863,1.0077,1.2537,1.1796,1.0598,0.9198,0.9372,-0.0447,-2.3936,False
MSFT,Microsoft Corporation,2023,211915.0,65863.0,48688.0,184257.0,110254.0,411976.0,13861.0,22759.0,104149.0,41990.0,109432.0,72361.0,87582.0,118848.0,2480000.0,205753.0,False,0.1944,0.2885,0.2656,12.0533,0.5144,9.2601,safe,1.0292,0.9925,0.9667,1.0688,1.1266,0.9757,0.9107,-0.0369,-2.5341,False
MSFT,Microsoft Corporation,2024,245120.0,74120.0,53400.0,198500.0,135400.0,512100.0,15200.0,24100.0,112400.0,44800.0,131700.0,88100.0,118500.0,142000.0,3150000.0,228000.0,False,0.1681,0.2773,0.2572,13.8158,0.4787,10.2068,safe,0.9482,0.9879,1.2204,1.1567,1.1065,0.9155,0.8654,-0.0594,-2.5121,False
GOOGL,Alphabet Inc.,2021,257637.0,110939.0,39304.0,188143.0,97599.0,359268.0,12443.0,36475.0,64254.0,14817.0,97780.0,76033.0,91652.0,191484.0,1850000.0,107633.0,False,0.3448,0.533,0.2722,17.188,0.7171,13.0881,safe,,,,,,,,,,
GOOGL,Alphabet Inc.,2022,282836.0,126203.0,40258.0,164795.0,112476.0,365264.0,15287.0,42294.0,69300.0,14701.0,99052.0,59972.0,91495.0,195563.0,1150000.0,109122.0,False,0.2614,0.5354,0.2712,10.5387,0.7743,9.0557,safe,0.933,1.0282,1.1771,1.0978,0.945,1.0562,1.0449,-0.0863,-2.8024,False
